Username,Comment
@Nticxx,Ekdum kadak hai...👍
@KHANUNIQUEPOULTRY,6 -4-25
@SarhaKhan-f6b,Bahut acha gana ❤❤❤❤❤❤❤❤❤❤❤
@LaxminarayanGiri-z7t,Amazing song no.1
@TejpalGurjar-q6z,Ye song  best hai sabse aacha song hai❤❤
@ShokatKhan-uf1wc,Kon kon 2025 me dekh raha hai
@rishi-zs4tf,It was Bluetooth hit
@rashmisharma9030,Bro got two dimples whoa 😅
@Rahulyadav-ir2ye,April 2025
@VivekKumar-xy4km,😂 😂 समझ में तो कुछ भी नहीं आता है।  लेकिन फिर भी न जाने कितनी बार सुन चुका हूं।  गाना मस्त है 👌👌👌👌
@sunnykhatry111,2:40 Best Part ❤
@satisfiedgamerz1597,Anyone 2025😂
@AnnuAnushka-uo4sj,2025 mai ye song kon sun rha hai😂😂
@Uneducated_Gamer_YT,02:45
@ArmaanpreetSingh-qj9cd,❤❤❤❤❤
@AjayRao-uw3oe,😂😂😂😂❤❤❤❤❤❤
@dumblife_7396,Does anyone knows the name of female cast
@Suraj1.0__,Trending song ❤
@MangalWadje-f3z,11 bhai maza agyaaa ❤
@durgeshdewangan6444,10 year old 👍🏻❤
@bholasahu9693,Jab ye rilis hua tha us din suna tha au abhi sun raha hu ise
@TunnySehrawat,1:50 ❤
@kishnachopal7049,🎉🎉🎉🎉🎉🎉🎉🎉🎉rr🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉lll❤❤❤❤❤❤❤❤
@NatDeepak,❤❤❤❤
@Heyy___ayushsahu1768parsoli,2:46  iska sabko intejar h  🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
@Sanatani___Boy108,"In 2013 🕺🏻 
And still 🕺🏻🕺🏻😅"
@PrithvirajSinghChouhanone,❤
@27Alpha,Anyone in April 2025 😊😊
@poojatyagiculture1,Mera naam kisi ne itne pyar s nai liya pooja
@NikitaDaksha,Me toh abhi bhi sunti hu 😅
@Alone-j1n,Does anyone know the actress?
@yourzhasil,❤
@akvlogs2488,Starting se ye sare gane fav. Hain.  2012 2013 2014 2015 wale .❤❤❤
@asaridilipkumar8977,Nice song❤❤❤  🏹🏹🏹⚔️
@CAPravinsinghRathore-g1g,Legend 🎉
@me.atul10,So this was released when I was in final year of my college wow what a song it is
@T-SERIES-v9h-r3h,Stand kaun dekha 😂 thodi sarm aayi ya nhi 😂😂😂😂
@sushantmaharaj8080,Anyone in 2013
@MONSTER-GAMING977,Old is gold 🎧😌
@anilchoudhary7486,Es ladki ki koi I'd batao
@Epicshowtime,Sirf Pooja ke liye sunta hoon😂😂😂
@dhanushyadav1200,Poojaaa❤
@dhanushyadav1200,Poojaaa
@dhanushyadav1200,Poojaaaa❤❤❤
@dhanushyadav1200,2025 me lyrics smjh aayi h😂😢❤
@SagarDebbarma-qz9cd,Still have vibe in 2025
@Nareshverma85,Kaun-kaun Mangal grah se Sun Raha hai😂
@niladri-wk8888,Listening after 12 years 👌🏻🥰 time to make this famous.
@BhupenderKumar-i1i,Kon kon 2025 ma dakh raha ha😂😂
@adityapathania5295,Model name
@In_shorts66,2025 😍😍
@AkashYadav-do9co,11 साल पहले पंजाबी गाने का बाप❤❤😢😊🎉
@PhysicsandChemistrysimplified,Mst 👍🏻👌🏻
@PhysicsandChemistrysimplified,❤🤍❤️🤍💖💛
@HarshBansal-i6p,Nostalgia hit ho gaya bhai sunn k 😢
@innocentbhai5484,2025 kon kon masterpiece sun raha hai
@AshaTanwar-b9w,6grade me at home alone at full tempo
@gamingpooja-c2d,2025❤
@kanishkplays100,times were good
@Kabir___xviiop,Bro created so goated video before 11 yrs top tier cinematography 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
@sprayboiyt7305,Still listening in 2025❤😊
@mdfuntech1802,March 2025 attendance here 😂
@prashantsinha2979,Welcome to 2025❤❤😅😅 like button 🔘
@akkiprajapat6662,Anyone in 2050
@Reemhet,"Ohdi ankh vi kameeni, mera dil v kameena 🔥💃"
@A_J_official.81,Who from Instagram reels 2025 😂❤❤
@kanuvlogs131,Listening in 2025
@chkakajibolte6288,2025 still ❤
@confusedcharacter7156,Legends listening in 2025😂
