Username,Comment
@sameersam5627,siraj bhai abhi aaynge yaha😊
@santanudatta1781,*Breat Lee* ❤
@sumitsameer922,Baccha yadav Rocks😅🎉🤣
@AmarTandi-s1v,Life was good when this men's play
@MULTIMEDIYASTATUSYS,ऑल of bunch of mad 😂😂😂 ha ha ha kapil sharma is sardar
@VishalThakur-of1pf,Brett Lee dangerous 😂
@VishalThakur-of1pf,Universal boss 💪😄❤
@64maheshlokhande60,Sala chris aarchna pe line mar raha he😂
@Data_Doser,Chris and bravo have a great cheerful personality
@junedshaikh3395,Last line of  superstition agar apku jukhaam hojaye to apto IPS ban sakte ho 😂
@ShivamKumar-cu4zf,Yha ke log inko dekhke pagal ho jate hai wha ke log yha ke logo ko jante bhi nhi honge
@digvijay9444,Brett lee is such a gentleman. I admire him so much. ❤
@KedarSharma-b4j,Anyone 2025🤣🤣
@HarishJarwal-w3v,😂😂😂😂
@sudhirverma8618,Sony channel or bhi cricketer ko bulwaye
@c.4242,"Why no one is talking about Kapil Sharma ka English, his English is far better than mine😅👍"
@Pari-Mahi-fun,"Cris gyle most funny man ,❤❤"
@RajeevKumar-qr7xp,Amazing behaviour
@RajeevKumar-qr7xp,Nice
@RajeevKumar-qr7xp,Closely india
@RajeevKumar-qr7xp,Dono tabahi
@PawanGodara-j2v,Ghanta samj ni aaya bancho
@Yoonikgamingchannel,😂😂😂😂😂
@kuntirathia2233,Samantha mAm lg rhi h
@Bareerah_Umer,is it only me or anyone else saw RAJAT SOOD 36:49
@jassi.tv6860,Two super star⭐😎 come in kapil show
@chv-c5h,senior citizen called ladki LOL
@Humanitie-p2x,"Love you both bro, really you are Greatest of greatest by heart"
@chintans7885,I feel bad for them both because they didn't understand anything in hindi 😒❤
@aryansworld842,Aaj kapil bhai ka show dekh kar asa laga jese koi english show dekh raha hu😅
@SatyanandaHappy,Ghu
@KWGAMINGlive,18:25 best part
@aryagavas2479,Love u Gayle bhai & Brett bhai ❤
@SunilKumar-k2l3e,Gora frangi
@HRH-v6o,Hey Invite David Warner ❤
@ak.tkb.protection22,Im love jesus Christ ❤
@ArtiFamilyVlog-w8d,Woooo International player's 🙌✅️🇮🇳
@ArtiFamilyVlog-w8d,Chris Gayle🥳✨️👀✅️🇮🇳
@sktskt2001,18:13
@banerjeesiddharth05,😊😊😊😊😊😊😊
@AliShan-p4g8z,Sidu g and mam ashkanara ka kia relation ha
@PranabCarrier,19:28
@We3A-Entertainment,"World's Dangerous Bowler 
With
World's Dangerous Batsman"
@SangeetaLimbu8239,Brett Lee ❤️
@DineshKumar-px9rv,Rajat Sood is show m aaya h
@pk_official22___,What a show❤❤❤❤❤
@Gopalsingh-yb9yu,Thappar sach me tha😢
@kirtanbs7151,Indian Chris gayle 😂
@sunils.nathan4310,Really nice to see Brett and Chris on Kapil Sharma 's show.
@vimalsoni6957,Breat lee Aur Chriss one more with My champiaon tendulker
@Dhruv_Rathee_respect_,35:34 😂😂😂
@souravbosu1386,Brett Lee❤❤❤❤❤❤❤❤
@AmanKumar-h5d9w,Seynevstoksvetchrisgayelbrettlibollsokey
@srikantrao8199,Brett Lee
