Username,Comment
@RisingNovaEnglish,"Watch Blockbuster Hollywood Action Disaster Movie ""ICE TORNADO"" Starring Michael Shanks & Alexandra Davies
https://www.youtube.com/watch?v=274BqIAJeco"
@petertrevena804,Why the block for Australia? VPN solved that problem.
@shaunwallace1372,I can't understand a single word that young says try speak clearly 😢
@jacksonwilbert9573,Anyone else watching on January 2025
@Hbr990,"Watching from Muscat,Oman🇴🇲❤"
@AnilKumar-ey5eq,This movie is too good and the last scene is very emotional ❤❤❤
@ACHALRAJPUT-v5y,Love full movie
@shilpi153,Pls can anyone learnd me english language
@Dagrdottir,"Absolutely brilliant, loved it.  Just watched a handful of action movies which were so predictable, this was edge on the seat, and to have a 
daughter father plot was pretty unique. Defo 5/5 stars from me"
@derrickcall9307,"This was called ""Chase"" earlier.  Stop making up names."
@shotazedginidze3490,Where is a subtitles?😂
@SoltaKan,فلم ممتاز انصح مشاهدته ❤❤
@DavidSaludo,Verry good movie thanks
@chamaraamarasena9539,Supper...❤❤❤
@FUBAO638,🎉🎉🎉
@mosesjamugahailai5143,Awesome 👍 watching from Papua New Guinea
@sylviakwayesa1829,🇰🇪🇰🇪❤❤
@GregoryBehrens-cn9te,Please pray for me...I really need a breakthrough now...thank you!!!
@mayonmekhi,Good movie
@NtetheleloManzini-w5n,The girl's character is annoying.
@nkrumahfaustina9335,Beautiful 😊😊
@judybraviere2715,Rate it an. A.  Great.
@giftokeke-p7f,Who's watching from Nigeria 🇳🇬
@MerUni-9,I don't understand the plot except that Logan &.his daughter.are on the run because someone wantsnthem dead. Buy why?
@thinkfloyd2594,"call is 'spoiled teen', too much of the whiny teen to tolerate"
@dlafrontis6224,Take the kid out ! To many questions
@peterhulse1064,"Good movie, and I had no trouble with the soundtrack."
@FrancisTambau,🎉
@justdoingitjim7095,And they lived happily ever after! The end!
@MariaAlexandraB.Rivera,It's a good movie
@diamondseries7221,Turning on the subtitles makes  things a bit better. An entertaining movie
@JacobSamuels-qm4jj,Music excellent
@Winsome-n4i,Don’t know if the daughter is more of a help or a menace but she’s annoying!😮
@jamespearson3071,I have watched this movie multiple times and still enjoy it!
@NessNingKai,the daughter is a good actress😍🥰
@wilhelmmeyer89,"A nice fantasy about a CIA agent who grows a conscience. The music/background sound reminded me of the Bourne films. Same matter, always fantasy, nothing real."
@alnadzmirpandaog9942,That was nice thanks!
@MogapiMampuru,Very interesting movie
@Pgan803,Good Movie. Ending NOT SO GOOD
@davidsmith-ws4bz,VeryVery Good!!!
@SthembisoMzimela-qh8dg,Watching from South Africa wow nice movie 🎉❤
@amaliasilverio1390,Bel film
@HarrisNkhata-t9o,Watching from my village Zakochera .... Malawi 🇲🇼 🇲🇼 🇲🇼 🇲🇼
@marsybangcara7008,I hate very much the daughter hoping to be died in this movie.
@venussky4677,Good movie ❤❤❤
@IkechukwuAmandu,Watching from Biafra land
@FarasitNasim,Watching from dubai 😊
@odongodaniel5221,"She's glad to be in a white society where fathers handle things in a white way, Not Africa and not in such a condition.😊"
@ravicharles5192,"One can relate to Aaron Eckhart and Liana Liberato as father - daughter and the young actress steals our hearts with caring as well as rebellious daughter. This action movie unfortunately did not do well at the box office. Had it been a hit, we would have had more decent
action thrillers with family values . I especially enjoyed the dialogue when he tells her daughter : "" When we were kids - that was some hundred years ago - we show our report cards to our parents. """
@davidlibdan7223,Watching from Brussels
@gingblessedjalmmash7245,Watching from PH.❤
@floridaaguada4216,❤❤❤❤❤❤
@mbakondjakkauapirura,It was a great movie ever❤❤❤😢❤❤😢
@hatemfahmy7261,الفيلم اكتر من رائع بل ممتاز جدا جدا جدا
@halitosis75,"Watching from Victoria, Australia, the most locked down place during covid in the world thanks DAN ANDREWS GR UB"
@halitosis75,Watching it from the planet Uranus
@halitosis75,Watching from the international space station ❤❤❤❤
@oscarbuado4719,"Watching from Puerto Princesa City, Palawan, Philippines❤❤"
@ceciliatondopan4672,Awesome movie!!!! 👍👍👍👏👏
@dagmawiabrar,Watching it from Ethiopia ..the land of 13 months sunshine❤❤❤❤
@Irfan88-x1j,"Kalium SURF 
the Transformers 4    .-
SURP Titanic soup spa
KORS AS best and on vit. C KORPS brights block by    .-"
@georgebanda8864,Good movie watching from Lusaka Zambia
@girvin_77,This movie were better if they didn't have the daughter. It's like Taken
@lovexperts01,nice movie. watching from planet Mars.
@LimiseNtame-oo8nm,Good one 💯
@RisingNovaEnglish,"Watch Blockbuster Hollywood Action Disaster Movie ""ICE TORNADO"" Starring Michael Shanks & Alexandra Davies
https://www.youtube.com/watch?v=274BqIAJeco"
@topaventador4064,"The daughter is annoying asf , but it’s a good movie!"
@dongdelrosario7722,watched from philippines sa likod ng simbahan kakaliwa tapos kakanan yun kulay orange ang bubong.
@TinaBali-om2nx,Does anybody know the counts of how many people were shot dead for the hunting of these two?🤔
@Kyle-bb9zp,Good movie 👍👍👍
@TheresaMaps,Aaron ❤
@iluminadaaninon7686,Wow..speechless..tye best movie I've watched..
@leechikit3295,這樣底智商和不孝的女兒不要也好
@mariotraderMTZ,Good movie
@billsherrard8452,"God! Here we go again. ONE more film in which the kid blames the parent  for their own imagined emotional problems. It goes like this: My dad wasn't there for me enough! My mom slept around; my parents forced me to go to school, to clean my room; they didn't like my friends they never did this or that for me! This whole f*in generation is pathetic! Watching the way this girl treats her dad is sickening! I'm outa here!"
@willbee8390,"Watching from Sierra Leone 🇸🇱. 
The bond between myself and my daughters are incomparable ❤.

Nice 👍 one."
@atbp828,"This is a good movie, kind of Bourne movies,"
@MisterMister5893,"Oh man, Aron Eckhart making movies that can't even qualify as ""straight to DVD"".. it's straight to YouTube to watch for free."
@KamoykayRousseau,Used caption
@allancavita6521,❤❤❤
@momzakyosama3511,Adakah orang Indonesia di sini
@alhajigibrilbangura1007,Nice one 👍
@Sarah_n6p,What's on the horizon? Exclusive interview with Binance's CEO reveals future insights
@glenncox9128,“Avez-vous entendu parler d’un autre testament de Jésus-Christ ?” - Elder Aaron Eckhart
@MayPont,Very  ❤️❤️❤️good  ❤️❤️
@erzapagente9802,wish it was different for OLGA  .watching from PHILIPPINES.
@TheArby13,"I watched this a couple years ago I think. I like the cia stuff, but this added the agent's daughter to the mix so they bit the bear in the balls. It didnt work out too well for cia."
@notconvinced,This is one of the very best movies ever! 🥰
@leevenge3895,English or Spanish
@Birendra333,"Happy ending❤....
Love from Nepal 
10 Star."
@chiewsuiyeen2419,Excellent choice of movie to cross our screens!
@lannytuimabu9273,Good movie  watching  from  fiji
@chinnybaby16,"Y would benita's water break now got me laughing😂
Sonia I love you like crazy❤"
@mariamkhan726,I'm sorry to say this but we  already hear and dance according to this song before 1995❤
@oswaldmedia,Watch from Ghana 🇬🇭 😏
@drecute,Candidate for James Bond
@sukhaizhimomi1314,Watching from nagaland 👍
@nickmacabulos4446,"I like this movie, watching here in the Philippines."
@nelsonpingay1489,GOOD DIRECTOR
@universalhuman4417,The daughter is a spoilt brat.
@bryanst.martin7134,"Opening scene I thought how neat they have progressive numbers. Must have been a budgetary item. It had to be fairly expensive. And for an opening shot there should be a reference back to it.
But I will watch and see. :-)"
@MortenNilsen-i2g,"Tight plot, cliff hanger tension, good acting. Ten Thumbs Up.   😎  😎"
