Username,Comment
@Dermacrosis,"9:49 I am guessing he was born after the separate vaccines for MMR that I had as a child, I didn't get the combined until it was a ""booster"", and I caught Mumps because with the separate vaccines there is a chance they may not take. The same applied with the hepatitis vaccination, which is mandatory for student nurses over here, if it didn't take then your career was over in nursing and it was only a minority of people that happened with in my intake of 220 only 3 where removed for this. Ten times more quit because of how tough the career was."
@Ladans1731,1:00:48 had me laughing
@patrickfisher8221,"Ok hold on, “when we know there are weather manipulation weapons” are you serious? These people shouldn’t be trusted with anything."
@jeffbrown5318,dread hair guy just venting.. should moved on pass him..
@SolairetheGoat,I like how every comment I've seen had been in support of Mike
@LeechyKun,1:08:43 Didn't Dr. Mike also pull a hypocritical move by breaking lockdown and partying at some boat filled with hot chicks and no mask?
@D2chukhna,Darwinism is real.
@sarah-beth-thomson1034,"There is a fundamental difference between disinformation and misinformation. Disinformation is spread with the intent of malice, misinformation is not. People who spread misinformation are victims of the villains who spread disinformation."
@ItsLevicon,"Even if the interlocutor is voted off, they should really give the defender the chance to finish their point.  This guys is very kind and he leads into answering and barely gets done with the pleasantries before the other person is forced to leave, and he never gets a change to actually address their points."
@patrickfisher8221,"20 of the most infuriating people I’ve ever tried to listen to vs the most patient doctor in the world.

Seriously how tf are there still people like this, this is why, despite as hard as I can, I don’t see any positive to “spiritually”, it clouds your judgement of the real world"
@wilddeath1,what do the flags raised mean?
@LeechyKun,Is it me or are a lot of the skeptics there religious and therefore you pretty much know why they're anti-vax for the most part due to the magical fairy whisking them away to paradise or protect them with a magical shield?
@farhanazairy792,Guy in blue sweater seemed like he wants some real answers and willing to listen
@chad9519,Every point was personal story experience not based on any data or information just opinion.
@Littlemissmirrorball,A nurse being an antivax is crazy
@HardThingsPodcast,"I love   De Mike and i think he is so articulate and compassionate, I have been watching his channel and he often has criticised other doctors and healthcare individuals. I think  this episode was so difficult for me to watch because the amount of over generalization of the antivaxxers is harmful. As a therapist, it is becoming more and more of an issue that people can hop on social media call themselves an expert and then get people on board. I see a lot of clients in my office now that say they have  autism and adhd and this and that (some do but not all)  and they said they know bc of tik tok and social media but then when I hear that and say well we have tests for some things they dont want the tests.... Another word that gets thrown around a lot is Narcisist  if you look up how many people actually have NPD  its not  to the level social media throws out. the misinformation that is talked about in this video is running rampant about so many issues now with little to no empirical data and people think that saying ""studies show"" without actually being able to provide the study./...  GREAT JOB Dr MIKE  you're the GOAT of the episode!"
@drsanjayanand,Analytic thinking is in short supply with non-scientists it seems
@lorrainecasazza7073,You can see Dr. Mike becoming more and more despondent as the session goes on and he realizes there is no amount of rational argument that will persuade these people and there is nothing he can do to help them.
@kazuya99ace,"@41:00 and I would like to point out that drunk driving doesn't cause death, it's actually caused by a sudden forceful impact"
@RicoTheTeamster,"Roots and Aleazar really talking to Dr. Mike like he doesn’t practice medicine for a living. Trying to tell him how he should feel about their skepticism is wild. 

And Devon. She’s the smartest one in the room. Saying that HIV doesn’t cause AIDS is a hot take. If nothing he says will change her mind, she doesn’t need to be there. This is supposed to be a discourse, but she’s there to impose her ignorance."
@mianunya7607,Doctor Mike is a legend
@DrGandW,"I got such blue balls when Doctor Mike said, ""do you think we should do all of it?"" to the third guy and then he got voted out, stopping what seemed like a really interesting direction. I couldn't go on"
@williamgraham5630,You can't debate with crazy. Most of these people made me cringe. And the insane part is that these are mostly young people. We're fuqed.
@CoolHandLuke196,"who wouldve guessed the theocratic, misogynist, nationalist from the sam sedar video is also anti-vax lmao"
@KenH-ko1ce,he was quite patient. The world has gotten very technical and most people have very little knowledge or training to make rational choices. So we get these kinds of choices
@zxmyn,spontaneous abortion…….. a miscarriage?
@NetherverseYT,41:10 they need to keep this lady away from the patent office 💀
@MPAzezal,1:00:44 i'm watching at 2x speed and found the way Mike answers mildly amusing
@beefstewie13,"33:00 my brother in christ you are describing RFK an his troupe so perfectly. If you try apply your skepticism equally to all perspectives, you might actually draw some valuable conclusions. That is the consensus healthcare is based on."
@AnthonyStouteford302,I usually have to turn these videos off after a few minutes because it's so hate filled. This one was genuinely filled with positivity and understanding by Dr Mike. Great job!
@zernin975,The editing on this is terrible. Sections that are clearly about claim 4 edited into the claim 3 section.
@new_found_teen_spirit,The guy with the blue shirt and the beanie genuinely seemed like a skeptic gathering information to form a holistic opinion as opposed to the rest of the chronically online and personally scorned people here.
